戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_期待値pips/回,学習_総利益pips,学習_総損失pips,学習_平均利益pips,学習_平均損失pips,学習_損益比,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_期待値pips/回,検証_総利益pips,検証_総損失pips,検証_平均利益pips,検証_平均損失pips,検証_損益比,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"BBブレイク(期間20, 2.0σ)",BBブレイク,12,12,東京(9-15時),全曜日,順方向のみ,なし,1496,1.7,51.4,499.5,0.334,9200.7,8701.2,11.96,-11.97,1.0,1.057,-734.5,10,586,1.9,53.9,565.2,0.965,3792.0,3226.8,12.0,-11.95,1.004,1.175,-154.8,8,1.112,65.1,採用候補
"RSI逆張り(期間10, 25/70)",RSI逆張り,25,5,ロンドン(16-21時),金,なし,なし,430,2.3,20.0,312.0,0.726,2028.0,1716.0,23.58,-4.99,4.727,1.182,-177.9,14,129,2.1,22.5,171.0,1.326,671.0,500.0,23.14,-5.0,4.628,1.342,-145.2,16,1.135,65.1,採用候補
"BB逆張り(期間20, 1.5σ)",BB逆張り,20,8,16時台,全曜日,なし,ATR高,505,1.3,29.9,171.8,0.34,2996.3,2824.5,19.84,-7.98,2.487,1.061,-200.2,17,174,1.4,32.2,182.5,1.049,1120.0,937.5,20.0,-7.94,2.517,1.195,-112.0,11,1.126,65.0,採用候補
"BBブレイク(期間25, 2.0σ)",BBブレイク,15,5,東京(9-15時),全曜日,順方向のみ,ATR低,492,1.3,27.6,260.0,0.528,2040.0,1780.0,15.0,-5.0,3.0,1.146,-105.0,16,190,1.4,28.4,130.0,0.684,810.0,680.0,15.0,-5.0,3.0,1.191,-80.0,16,1.039,64.9,採用候補
"BBブレイク(期間20, 2.0σ)",BBブレイク,15,15,東京(9-15時),全曜日,順方向のみ,直近30分変動大,973,1.6,51.6,482.4,0.496,7510.9,7028.5,14.96,-14.92,1.003,1.069,-525.0,9,432,1.7,53.5,462.8,1.071,3465.0,3002.2,15.0,-14.94,1.004,1.154,-182.2,6,1.08,64.8,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,30,12,東京(9-15時),全曜日,上昇のみ,ATR低,380,1.1,32.9,395.7,1.041,3405.8,3010.1,27.25,-11.8,2.308,1.131,-384.2,11,137,1.2,32.8,196.3,1.433,1277.6,1081.3,28.39,-11.75,2.416,1.182,-115.3,7,1.045,64.7,採用候補
"BB逆張り(期間14, 2.0σ)",BB逆張り,15,15,全時間,金,下降のみ,なし,782,4.6,51.7,385.9,0.493,6010.5,5624.6,14.88,-14.88,1.0,1.069,-285.0,8,288,4.6,53.5,308.9,1.073,2302.4,1993.5,14.95,-14.88,1.005,1.155,-180.0,6,1.08,64.6,採用候補
"EMAクロス(5,30)",EMAクロス,30,8,全時間,金,下降のみ,直近30分変動大,351,2.6,23.6,254.3,0.725,2398.3,2144.0,28.9,-8.0,3.612,1.119,-390.6,19,156,2.9,25.6,269.4,1.727,1191.7,922.3,29.79,-7.95,3.747,1.292,-198.6,14,1.155,64.6,採用候補
"BB逆張り(期間20, 2.0σ)",BB逆張り,30,15,全時間,木,順方向のみ,なし,490,2.4,36.5,265.7,0.542,4837.7,4572.0,27.03,-14.7,1.838,1.058,-496.5,13,203,2.6,37.9,369.3,1.819,2213.3,1844.0,28.74,-14.63,1.964,1.2,-204.7,8,1.134,64.4,採用候補
"BB逆張り(期間25, 2.0σ)",BB逆張り,30,10,ロンドン(16-21時),全曜日,順方向のみ,なし,478,1.1,29.7,274.4,0.574,3578.3,3303.9,25.2,-9.83,2.563,1.083,-227.5,16,207,1.2,31.4,300.3,1.451,1688.5,1388.2,25.98,-9.78,2.657,1.216,-180.0,10,1.123,64.4,採用候補
押し目(EMA200+RSI45/65),押し目,30,12,9時台,全曜日,レンジのみ,なし,327,1.1,33.0,448.5,1.372,3035.2,2586.7,28.1,-11.81,2.379,1.173,-318.0,13,107,1.1,33.6,203.2,1.899,1055.2,852.0,29.31,-12.0,2.443,1.238,-120.0,10,1.055,64.4,採用候補
押し目(EMA200+RSI40/55),押し目,25,8,東京(9-15時),木,なし,なし,313,1.8,26.5,140.2,0.448,1980.2,1840.0,23.86,-8.0,2.982,1.076,-225.0,15,127,1.9,27.6,139.0,1.094,875.0,736.0,25.0,-8.0,3.125,1.189,-133.0,8,1.105,64.1,採用候補
"EMAクロス(10,50)",EMAクロス,25,20,東京(9-15時),全曜日,レンジのみ,なし,515,1.1,47.2,616.4,1.197,5793.5,5177.1,23.84,-19.03,1.253,1.119,-284.0,8,192,1.1,49.0,332.5,1.732,2228.3,1895.8,23.71,-19.34,1.225,1.175,-203.6,6,1.05,64.0,採用候補
"EMAクロス(5,50)",EMAクロス,15,5,東京(9-15時),全曜日,なし,ATR高,546,1.9,27.3,250.0,0.458,2235.0,1985.0,15.0,-5.0,3.0,1.126,-205.0,25,235,1.9,28.1,145.0,0.617,990.0,845.0,15.0,-5.0,3.0,1.172,-105.0,17,1.041,63.9,採用候補
"RSI逆張り(期間14, 40/70)",RSI逆張り,30,10,ロンドン(16-21時),全曜日,上昇のみ,直近30分変動大,342,1.4,28.1,227.3,0.665,2678.6,2451.3,27.9,-9.96,2.8,1.093,-279.2,13,138,1.5,29.7,178.5,1.293,1148.5,970.0,28.01,-10.0,2.801,1.184,-130.0,10,1.083,63.9,採用候補
"MACDクロス(8,26,6)",MACDクロス,15,8,全時間,木,順方向のみ,ATR高,579,3.3,38.9,517.0,0.893,3341.0,2824.0,14.85,-7.98,1.861,1.183,-164.0,19,191,3.2,38.2,151.0,0.791,1095.0,944.0,15.0,-8.0,1.875,1.16,-101.0,9,0.981,63.6,採用候補
"MACDクロス(8,21,12)",MACDクロス,25,10,16時台,全曜日,なし,ATR高,384,1.3,32.0,438.8,1.143,3043.9,2605.1,24.75,-9.98,2.479,1.168,-225.0,13,122,1.2,32.8,146.5,1.201,963.4,816.9,24.09,-9.96,2.418,1.179,-120.0,8,1.009,63.5,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,25,12,全時間,月,下降のみ,直近30分変動大,479,3.9,34.9,344.8,0.72,4039.8,3695.0,24.19,-11.84,2.043,1.093,-192.0,8,255,4.2,36.9,342.0,1.341,2264.1,1922.1,24.09,-11.94,2.018,1.178,-187.2,11,1.078,63.4,採用候補
"MACDクロス(12,26,6)",MACDクロス,20,12,10時台,全曜日,なし,直近30分変動大,304,1.1,38.8,123.0,0.405,2344.3,2221.3,19.87,-11.94,1.664,1.055,-216.0,9,132,1.1,40.9,144.0,1.091,1080.0,936.0,20.0,-12.0,1.667,1.154,-176.0,7,1.094,63.3,採用候補
"BBブレイク(期間30, 2.0σ)",BBブレイク,25,12,全時間,木,順方向のみ,ATR高,445,2.5,36.6,507.4,1.14,3838.1,3330.7,23.55,-11.81,1.994,1.152,-288.6,14,124,2.3,35.5,153.1,1.235,1100.0,946.9,25.0,-11.84,2.112,1.162,-141.6,7,1.009,63.2,採用候補
"EMAクロス(12,30)",EMAクロス,12,12,全時間,月,下降のみ,なし,311,2.3,55.9,434.8,1.398,2038.3,1603.5,11.71,-11.7,1.001,1.271,-120.0,6,136,2.5,54.4,124.4,0.915,868.4,744.0,11.74,-12.0,0.978,1.167,-120.0,6,0.918,62.8,採用候補
"BBブレイク(期間14, 1.5σ)",BBブレイク,25,8,東京(9-15時),全曜日,順方向のみ,ATR低,600,1.2,28.5,681.4,1.136,4097.9,3416.5,23.96,-7.96,3.009,1.199,-190.9,13,216,1.3,27.8,238.6,1.105,1473.6,1235.0,24.56,-7.92,3.102,1.193,-159.0,12,0.995,62.6,採用候補
"BB逆張り(期間20, 2.5σ)",BB逆張り,25,30,全時間,火,なし,直近30分変動大,590,2.9,56.1,887.6,1.504,7770.1,6882.5,23.47,-26.57,0.883,1.129,-408.0,6,264,3.5,58.3,472.4,1.789,3593.3,3120.9,23.33,-28.37,0.822,1.151,-382.6,7,1.019,62.3,採用候補
"BB逆張り(期間20, 2.5σ)",BB逆張り,30,25,全時間,火,上昇のみ,なし,332,1.9,49.1,383.0,1.154,4288.5,3905.5,26.31,-23.11,1.138,1.098,-535.5,7,125,2.2,50.4,279.6,2.237,1709.8,1430.2,27.14,-23.07,1.177,1.195,-347.1,10,1.088,62.1,採用候補
"RSI逆張り(期間7, 20/80)",RSI逆張り,25,5,全時間,全曜日,順方向のみ,直近30分変動大,470,1.2,19.4,187.6,0.399,2071.8,1884.2,22.77,-4.97,4.58,1.1,-192.9,23,229,1.3,18.8,145.0,0.633,1075.0,930.0,25.0,-5.0,5.0,1.156,-185.0,27,1.051,61.9,採用候補
"RSI逆張り(期間7, 30/65)",RSI逆張り,30,5,東京(9-15時),金,なし,ATR高,383,3.2,16.7,325.0,0.849,1920.0,1595.0,30.0,-5.0,6.0,1.204,-295.0,24,134,3.0,16.4,93.1,0.695,653.1,560.0,29.69,-5.0,5.937,1.166,-105.0,18,0.968,61.7,採用候補
"MACDクロス(12,21,6)",MACDクロス,25,5,東京(9-15時),木,下降のみ,なし,322,2.8,17.7,80.0,0.248,1400.3,1320.3,24.57,-4.98,4.931,1.061,-90.0,16,155,3.8,18.7,95.0,0.613,725.0,630.0,25.0,-5.0,5.0,1.151,-170.0,21,1.085,61.5,採用候補
