戦略,戦略タイプ,利確pips,損切りpips,時間帯,曜日,トレンド環境,ボラ環境,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"BB逆張り(期間20, 2.5σ)",BB逆張り,8,30,9時台,全曜日,なし,直近30分変動大,311,1.0,79.4,96.0,8.0,-29.38,1.051,-238.0,3,136,1.0,73.5,-280.0,8.0,-30.0,0.741,-464.0,3,0.705,29.0,不採用
押し目(EMA200+RSI45/55),押し目,4,5,全時間,水,下降のみ,ATR高,312,3.6,44.9,-300.0,4.0,-5.0,0.651,-308.0,9,152,4.0,44.1,-157.0,4.0,-5.0,0.631,-165.0,8,0.969,29.0,不採用
"MACDクロス(12,21,12)",MACDクロス,10,15,全時間,木,なし,直近30分変動大,1195,6.1,59.4,-141.8,10.0,-14.93,0.98,-640.0,7,518,6.8,54.4,-716.6,9.97,-14.95,0.797,-756.6,5,0.813,29.0,不採用
"MACDクロス(16,26,6)",MACDクロス,6,8,全時間,金,レンジのみ,なし,993,5.0,56.9,-28.5,6.0,-7.99,0.992,-320.0,11,429,5.5,52.2,-296.0,6.0,-8.0,0.82,-380.0,9,0.827,29.0,不採用
押し目(EMA200+RSI45/55),押し目,8,10,22時台,全曜日,なし,なし,744,1.2,54.7,-18.6,7.77,-9.44,0.994,-250.0,7,321,1.3,49.2,-351.5,7.84,-9.76,0.779,-349.5,5,0.784,29.0,不採用
"RSI逆張り(期間10, 40/65)",RSI逆張り,5,10,東京(9-15時),全曜日,なし,ATR低,1388,2.1,63.4,-668.3,5.0,-9.98,0.868,-777.6,7,474,2.1,61.0,-405.0,5.0,-10.0,0.781,-450.0,7,0.9,29.0,不採用
"MACDクロス(16,26,6)",MACDクロス,8,15,東京(9-15時),木,なし,なし,673,3.2,61.4,-596.0,8.0,-15.0,0.847,-722.0,8,284,3.7,58.8,-407.7,8.0,-14.9,0.766,-455.7,6,0.904,29.0,不採用
"BBブレイク(期間14, 2.0σ)",BBブレイク,20,10,全時間,水,なし,ATR高,788,4.4,34.6,196.9,19.5,-9.95,1.038,-495.7,14,261,3.9,29.9,-281.5,19.85,-10.0,0.846,-391.5,12,0.815,29.0,不採用
"BBブレイク(期間25, 2.5σ)",BBブレイク,4,10,ロンドン(16-21時),全曜日,上昇のみ,直近30分変動大,475,1.4,69.9,-102.0,4.0,-10.0,0.929,-260.0,6,163,1.3,63.2,-188.0,4.0,-10.0,0.687,-206.0,4,0.74,29.0,不採用
押し目(EMA200+RSI45/55),押し目,20,10,全時間,全曜日,上昇のみ,ATR低,768,1.4,33.6,-57.5,18.85,-9.65,0.988,-660.4,15,308,1.4,30.5,-339.8,18.43,-9.68,0.836,-374.4,12,0.846,29.0,不採用
