戦略,利確pips,損切りpips,時間帯,曜日,ボラ条件,トレンド条件,学習_取引回数,学習_1日平均回数,学習_勝率%,学習_総損益pips,学習_平均利益pips,学習_平均損失pips,学習_PF,学習_最大DD_pips,学習_最大連敗,検証_取引回数,検証_1日平均回数,検証_勝率%,検証_総損益pips,検証_平均利益pips,検証_平均損失pips,検証_PF,検証_最大DD_pips,検証_最大連敗,乖離率(検証PF/学習PF),総合スコア,判定
"RSI逆張り(30,70)",20,5,10時台,全曜日,なし,なし,501,1.2,18.6,-208.6,19.69,-5.0,0.898,-408.6,21,203,1.3,25.1,248.5,19.71,-4.98,1.328,-90.0,18,1.479,78.7,要注意
"RSI逆張り(30,70)",10,5,東京(9-15時),全曜日,なし,上昇トレンドのみ,840,2.0,31.4,-240.0,10.0,-5.0,0.917,-340.0,21,331,2.0,35.6,115.0,10.0,-5.0,1.108,-65.0,7,1.208,78.7,要注意
"EMAクロス(10,50)",20,20,東京(9-15時),全曜日,なし,レンジのみ,516,1.1,50.2,117.2,19.38,-19.08,1.024,-378.5,8,193,1.1,55.4,430.6,19.68,-19.48,1.257,-140.0,6,1.228,78.7,要注意
トレンド押し目(EMA200+RSI40/60),10,15,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,447,1.1,56.6,-348.5,9.82,-14.6,0.877,-589.1,8,171,1.2,64.9,212.5,9.89,-14.76,1.24,-135.0,6,1.414,78.7,要注意
"EMAクロス(10,50)",20,15,東京(9-15時),全曜日,なし,レンジのみ,539,1.2,43.0,9.7,19.53,-14.72,1.002,-280.1,10,202,1.2,48.0,364.1,19.74,-14.76,1.235,-130.9,6,1.233,78.7,要注意
"MACDクロス(12,26,9)",5,20,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,986,2.0,77.3,-559.0,5.0,-19.49,0.872,-712.2,5,392,2.2,81.6,169.0,4.99,-19.83,1.118,-210.0,3,1.282,78.7,要注意
トレンド押し目(EMA200+RSI40/60),20,10,ロンドン(16-21時),全曜日,なし,レンジのみ,498,1.3,34.7,94.8,19.21,-9.93,1.029,-322.4,13,188,1.4,39.9,365.6,19.7,-9.84,1.329,-111.5,9,1.292,78.6,要注意
"MACDクロス(12,26,9)",15,10,22時台,全曜日,なし,上昇トレンドのみ,403,1.2,41.9,-34.8,12.66,-9.29,0.984,-315.3,8,155,1.3,47.1,210.3,13.66,-9.6,1.267,-96.9,8,1.288,78.6,要注意
トレンド押し目(EMA200+RSI40/60),20,20,ロンドン(16-21時),全曜日,なし,レンジのみ,437,1.1,48.3,-217.8,18.75,-18.47,0.948,-423.7,6,157,1.2,54.8,320.2,19.47,-19.07,1.236,-160.0,5,1.304,78.6,要注意
"EMAクロス(10,50)",20,5,東京(9-15時),全曜日,なし,レンジのみ,703,1.6,22.8,468.4,19.9,-5.0,1.173,-170.0,15,247,1.5,25.1,306.2,19.86,-5.0,1.331,-75.0,14,1.135,78.2,採用候補
"EMAクロス(10,50)",10,10,22時台,全曜日,なし,なし,354,1.2,45.8,-281.7,9.57,-9.54,0.846,-311.5,8,149,1.2,54.4,119.9,9.62,-9.7,1.182,-102.9,6,1.397,78.2,要注意
"MACDクロス(12,26,9)",8,20,16時台,全曜日,なし,なし,809,1.1,69.0,-488.7,7.97,-19.67,0.901,-763.3,6,304,1.1,73.0,201.6,7.95,-19.08,1.129,-176.0,4,1.253,78.2,要注意
"MACDクロス(12,26,9)",10,10,16時台,全曜日,なし,トレンド順方向のみ,302,1.1,51.7,100.0,10.0,-10.0,1.068,-160.0,7,103,1.0,56.3,130.0,10.0,-10.0,1.289,-70.0,7,1.207,78.1,採用候補
"MACDクロス(12,26,9)",15,15,22時台,全曜日,なし,上昇トレンドのみ,379,1.1,47.8,-229.0,12.77,-12.83,0.91,-444.6,8,142,1.2,54.9,155.2,13.48,-14.01,1.173,-121.2,5,1.289,78.1,要注意
"EMAクロス(10,50)",8,5,東京(9-15時),全曜日,なし,レンジのみ,706,1.6,35.4,-280.0,8.0,-5.0,0.877,-389.0,11,247,1.5,40.9,78.0,8.0,-5.0,1.107,-47.0,8,1.262,78.1,要注意
"MACDクロス(12,26,9)",10,10,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,1207,1.5,48.8,-260.1,9.94,-9.89,0.957,-665.1,11,477,1.6,53.5,336.0,10.0,-9.97,1.152,-130.0,7,1.204,78.1,要注意
"MACDクロス(12,26,9)",10,5,22時台,全曜日,なし,トレンド順方向のみ,301,1.1,31.6,-109.8,9.56,-4.94,0.892,-242.6,10,121,1.1,38.0,78.0,9.85,-5.0,1.208,-55.0,8,1.354,78.1,要注意
"RSI逆張り(25,75)",15,15,全時間,全曜日,なし,レンジのみ,642,1.3,49.2,-250.3,14.39,-14.72,0.948,-402.1,7,244,1.3,54.9,320.0,14.51,-14.76,1.197,-180.0,5,1.263,78.0,要注意
"RSI逆張り(30,70)",10,10,ロンドン(16-21時),全曜日,なし,下降トレンドのみ,443,1.6,48.1,-170.0,10.0,-10.0,0.926,-350.0,10,168,1.6,54.8,160.0,10.0,-10.0,1.211,-120.0,6,1.308,78.0,要注意
トレンド押し目(EMA200+RSI40/60),15,5,ロンドン(16-21時),全曜日,なし,トレンド順方向のみ,511,1.3,22.5,-302.5,14.59,-5.0,0.847,-362.5,23,192,1.3,30.2,191.2,14.77,-4.97,1.287,-95.0,19,1.5,78.0,要注意
"EMAクロス(5,20)",5,20,ロンドン(16-21時),全曜日,なし,レンジのみ,599,1.3,76.1,-454.2,5.0,-19.12,0.834,-483.0,4,249,1.4,80.7,62.8,5.0,-19.63,1.067,-110.0,3,1.279,78.0,要注意
トレンド押し目(EMA200+RSI40/60),15,20,全時間,全曜日,なし,下降トレンドのみ,832,1.4,55.0,-567.7,14.24,-18.96,0.92,-797.7,6,330,1.5,58.2,308.0,14.85,-18.43,1.121,-195.0,4,1.218,78.0,要注意
トレンド押し目(EMA200+RSI40/60),10,20,ロンドン(16-21時),全曜日,なし,なし,804,1.3,61.7,-908.5,9.86,-18.83,0.843,-1162.5,6,313,1.4,69.0,290.1,9.94,-19.15,1.156,-200.1,5,1.371,77.9,要注意
"MACDクロス(12,26,9)",10,5,16時台,全曜日,なし,トレンド順方向のみ,313,1.1,32.3,-50.0,10.0,-5.0,0.953,-240.0,24,108,1.1,38.0,75.0,10.0,-5.0,1.224,-55.0,7,1.284,77.9,要注意
トレンド押し目(EMA200+RSI40/60),15,5,ロンドン(16-21時),全曜日,なし,レンジのみ,604,1.5,24.5,-78.9,14.87,-5.0,0.965,-262.4,17,222,1.6,30.6,243.5,14.9,-5.0,1.316,-110.0,12,1.364,77.9,要注意
"RSI逆張り(30,70)",20,10,NY(21-23時),全曜日,なし,上昇トレンドのみ,385,1.3,35.6,-139.4,16.22,-9.52,0.941,-330.7,9,126,1.4,40.5,193.0,18.08,-9.72,1.265,-91.6,9,1.344,77.9,要注意
トレンド押し目(EMA200+RSI40/60),5,20,ロンドン(16-21時),全曜日,なし,レンジのみ,492,1.2,75.6,-472.9,5.0,-19.44,0.797,-587.9,4,179,1.3,81.0,50.3,5.0,-19.84,1.075,-105.0,3,1.349,77.8,要注意
