entry_time,exit_time,side,pnl_pips,exit_reason
2024-08-09 12:05:00,2024-08-09 12:05:00,買い,-5.0,損切り
2024-08-09 12:45:00,2024-08-09 12:50:00,売り,-5.0,損切り
2024-08-14 10:50:00,2024-08-14 10:50:00,売り,-5.0,損切り
2024-08-16 14:35:00,2024-08-16 14:45:00,買い,-5.0,損切り
2024-08-19 10:25:00,2024-08-19 10:30:00,売り,20.0,利確
2024-08-23 09:15:00,2024-08-23 09:15:00,買い,-5.0,損切り
2024-08-23 09:20:00,2024-08-23 09:35:00,売り,20.0,利確
2024-08-27 09:05:00,2024-08-27 09:10:00,買い,20.0,利確
2024-09-02 14:25:00,2024-09-02 14:55:00,買い,-5.0,損切り
2024-09-03 09:40:00,2024-09-03 09:45:00,買い,-5.0,損切り
2024-09-04 13:50:00,2024-09-04 13:55:00,売り,-5.0,損切り
2024-09-05 13:40:00,2024-09-05 14:05:00,売り,20.0,利確
2024-09-06 09:00:00,2024-09-06 09:15:00,売り,20.0,利確
2024-09-12 13:00:00,2024-09-12 13:35:00,買い,20.0,利確
2024-09-17 13:00:00,2024-09-17 14:05:00,買い,20.0,利確
2024-09-20 09:40:00,2024-09-20 09:45:00,売り,-5.0,損切り
2024-09-24 11:10:00,2024-09-24 11:10:00,売り,-5.0,損切り
2024-09-24 11:50:00,2024-09-24 11:50:00,買い,-5.0,損切り
2024-09-24 12:15:00,2024-09-24 12:15:00,売り,-5.0,損切り
2024-09-24 12:25:00,2024-09-24 13:10:00,買い,20.0,利確
2024-09-25 13:45:00,2024-09-25 13:45:00,売り,-5.0,損切り
2024-09-26 09:10:00,2024-09-26 09:10:00,売り,-5.0,損切り
2024-09-26 10:25:00,2024-09-26 10:40:00,買い,20.0,利確
2024-09-30 10:55:00,2024-09-30 11:35:00,売り,20.0,利確
2024-10-04 09:50:00,2024-10-04 09:50:00,買い,-5.0,損切り
2024-10-04 09:55:00,2024-10-04 11:15:00,売り,20.0,利確
2024-10-07 14:15:00,2024-10-07 14:20:00,買い,-5.0,損切り
2024-10-09 10:10:00,2024-10-09 10:15:00,買い,-5.0,損切り
2024-10-09 11:55:00,2024-10-09 12:05:00,買い,-5.0,損切り
2024-10-10 12:10:00,2024-10-10 13:25:00,買い,20.0,利確
2024-10-11 10:00:00,2024-10-11 10:10:00,売り,-5.0,損切り
2024-10-11 11:00:00,2024-10-11 11:10:00,買い,-5.0,損切り
2024-10-11 14:50:00,2024-10-11 14:55:00,売り,-5.0,損切り
2024-10-21 09:10:00,2024-10-21 10:20:00,売り,20.0,利確
2024-10-22 11:20:00,2024-10-22 12:15:00,買い,20.0,利確
2024-10-24 10:40:00,2024-10-24 10:40:00,買い,-5.0,損切り
2024-10-24 10:50:00,2024-10-24 10:55:00,売り,-5.0,損切り
2024-10-25 11:20:00,2024-10-25 11:30:00,売り,-5.0,損切り
2024-10-25 12:25:00,2024-10-25 12:45:00,買い,-5.0,損切り
2024-10-30 13:35:00,2024-10-30 13:45:00,売り,-5.0,損切り
2024-10-30 14:20:00,2024-10-30 14:25:00,買い,-5.0,損切り
2024-10-30 14:30:00,2024-10-30 15:00:00,売り,-5.0,損切り
2024-10-31 09:50:00,2024-10-31 11:45:00,買い,-5.0,損切り
2024-11-06 09:05:00,2024-11-06 09:05:00,売り,-5.0,損切り
2024-11-06 09:15:00,2024-11-06 09:15:00,買い,-5.0,損切り
2024-11-07 09:35:00,2024-11-07 09:45:00,買い,-5.0,損切り
2024-11-07 11:10:00,2024-11-07 11:15:00,売り,-5.0,損切り
2024-11-08 11:20:00,2024-11-08 11:20:00,売り,-5.0,損切り
2024-11-08 12:00:00,2024-11-08 12:00:00,買い,-5.0,損切り
2024-11-08 12:10:00,2024-11-08 12:15:00,売り,20.0,利確
2024-11-12 09:55:00,2024-11-12 11:05:00,買い,20.0,利確
2024-11-13 09:05:00,2024-11-13 10:00:00,買い,20.0,利確
2024-11-15 13:30:00,2024-11-15 14:40:00,売り,-5.0,損切り
2024-11-18 09:20:00,2024-11-18 09:25:00,売り,-5.0,損切り
2024-11-18 13:20:00,2024-11-18 13:40:00,売り,-5.0,損切り
2024-11-18 14:25:00,2024-11-18 14:35:00,買い,-5.0,損切り
2024-11-22 12:35:00,2024-11-22 13:30:00,売り,-5.0,損切り
2024-11-26 09:40:00,2024-11-26 09:40:00,売り,-5.0,損切り
2024-12-05 11:00:00,2024-12-05 11:00:00,買い,-5.0,損切り
2024-12-05 11:15:00,2024-12-05 12:25:00,売り,20.0,利確
2024-12-06 09:50:00,2024-12-06 09:55:00,売り,-5.0,損切り
2024-12-06 10:30:00,2024-12-06 10:35:00,買い,-5.0,損切り
2024-12-09 13:45:00,2024-12-09 14:05:00,売り,-5.0,損切り
2024-12-10 14:30:00,2024-12-10 14:35:00,買い,-5.0,損切り
2024-12-10 14:50:00,2024-12-10 15:20:00,売り,-5.0,損切り
2024-12-12 13:55:00,2024-12-12 14:05:00,売り,-5.0,損切り
2024-12-12 14:35:00,2024-12-12 14:35:00,買い,-5.0,損切り
2024-12-16 09:50:00,2024-12-16 11:05:00,買い,20.0,利確
2024-12-17 13:15:00,2024-12-17 13:20:00,買い,-5.0,損切り
2024-12-18 12:55:00,2024-12-18 13:45:00,売り,20.0,利確
2024-12-23 11:15:00,2024-12-23 11:20:00,売り,-5.0,損切り
2024-12-23 12:05:00,2024-12-23 12:50:00,買い,-5.0,損切り
2024-12-26 09:45:00,2024-12-26 10:25:00,買い,20.0,利確
2024-12-30 09:25:00,2024-12-30 09:50:00,売り,-5.0,損切り
2024-12-30 09:55:00,2024-12-30 09:55:00,買い,-5.0,損切り
2024-12-30 12:15:00,2024-12-30 13:35:00,買い,-5.0,損切り
2024-12-30 14:25:00,2024-12-30 15:10:00,買い,20.0,利確
2024-12-31 09:35:00,2024-12-31 10:00:00,売り,20.0,利確
2025-01-03 12:50:00,2025-01-03 12:55:00,買い,-5.0,損切り
2025-01-03 13:05:00,2025-01-03 13:05:00,売り,-5.0,損切り
2025-01-10 10:55:00,2025-01-10 13:10:00,買い,20.0,利確
2025-01-13 10:25:00,2025-01-13 10:35:00,売り,20.0,利確
2025-01-21 11:10:00,2025-01-21 11:10:00,売り,-5.0,損切り
2025-01-22 09:40:00,2025-01-22 09:40:00,売り,-5.0,損切り
2025-01-22 10:35:00,2025-01-22 12:25:00,買い,20.0,利確
2025-01-23 10:55:00,2025-01-23 11:05:00,買い,-5.0,損切り
2025-01-24 11:50:00,2025-01-24 11:50:00,売り,-5.0,損切り
2025-01-29 09:10:00,2025-01-29 09:10:00,売り,-5.0,損切り
2025-01-31 09:00:00,2025-01-31 09:00:00,売り,-5.0,損切り
2025-02-06 09:45:00,2025-02-06 09:45:00,売り,-5.0,損切り
2025-02-06 09:50:00,2025-02-06 09:50:00,買い,-5.0,損切り
2025-02-06 09:55:00,2025-02-06 09:55:00,売り,20.0,利確
2025-02-13 10:00:00,2025-02-13 10:15:00,買い,-5.0,損切り
2025-02-13 13:30:00,2025-02-13 14:20:00,買い,-5.0,損切り
2025-02-14 13:45:00,2025-02-14 15:35:00,売り,20.0,利確
2025-02-18 09:05:00,2025-02-18 10:15:00,買い,20.0,利確
2025-02-19 10:00:00,2025-02-19 10:05:00,買い,-5.0,損切り
2025-02-19 10:25:00,2025-02-19 10:50:00,売り,-5.0,損切り
2025-02-19 11:00:00,2025-02-19 11:00:00,買い,-5.0,損切り
2025-02-24 09:20:00,2025-02-24 09:35:00,売り,-5.0,損切り
2025-02-24 12:55:00,2025-02-24 13:05:00,売り,-5.0,損切り
2025-02-24 13:25:00,2025-02-24 13:40:00,買い,-5.0,損切り
2025-02-28 09:30:00,2025-02-28 09:30:00,売り,-5.0,損切り
2025-03-07 09:20:00,2025-03-07 09:20:00,売り,-5.0,損切り
2025-03-07 10:05:00,2025-03-07 10:05:00,買い,-5.0,損切り
2025-03-07 11:15:00,2025-03-07 11:15:00,売り,-5.0,損切り
2025-03-11 14:05:00,2025-03-11 14:05:00,売り,-5.0,損切り
2025-03-11 14:15:00,2025-03-11 14:50:00,買い,20.0,利確
2025-03-13 10:00:00,2025-03-13 10:05:00,売り,-5.0,損切り
2025-03-13 10:35:00,2025-03-13 10:40:00,買い,-5.0,損切り
2025-03-13 10:45:00,2025-03-13 10:50:00,買い,-5.0,損切り
2025-03-17 12:45:00,2025-03-17 13:05:00,買い,20.0,利確
2025-03-19 13:35:00,2025-03-19 14:30:00,買い,20.0,利確
2025-03-21 09:20:00,2025-03-21 10:05:00,買い,20.0,利確
2025-03-27 09:20:00,2025-03-27 09:20:00,買い,-5.0,損切り
2025-03-27 10:05:00,2025-03-27 10:10:00,売り,-5.0,損切り
2025-03-28 09:35:00,2025-03-28 09:50:00,買い,-5.0,損切り
2025-03-28 10:10:00,2025-03-28 10:20:00,売り,-5.0,損切り
2025-04-02 13:30:00,2025-04-02 15:40:00,買い,-5.0,損切り
2025-04-04 11:05:00,2025-04-04 11:05:00,売り,-5.0,損切り
2025-04-04 11:10:00,2025-04-04 11:30:00,買い,-5.0,損切り
2025-04-04 12:20:00,2025-04-04 12:30:00,売り,20.0,利確
2025-04-08 13:10:00,2025-04-08 13:10:00,買い,-5.0,損切り
2025-04-14 09:05:00,2025-04-14 09:20:00,売り,20.0,利確
2025-04-16 09:05:00,2025-04-16 09:30:00,売り,20.0,利確
2025-04-22 11:10:00,2025-04-22 11:50:00,売り,20.0,利確
2025-04-23 13:00:00,2025-04-23 13:15:00,買い,-5.0,損切り
2025-04-23 13:40:00,2025-04-23 14:20:00,売り,20.0,利確
2025-04-24 09:05:00,2025-04-24 09:10:00,買い,-5.0,損切り
2025-04-24 09:55:00,2025-04-24 09:55:00,売り,-5.0,損切り
2025-04-28 11:05:00,2025-04-28 11:20:00,買い,-5.0,損切り
2025-04-29 09:20:00,2025-04-29 09:20:00,売り,-5.0,損切り
2025-04-29 09:25:00,2025-04-29 09:35:00,買い,-5.0,損切り
2025-04-29 09:40:00,2025-04-29 09:40:00,売り,-5.0,損切り
2025-04-29 09:45:00,2025-04-29 09:45:00,買い,-5.0,損切り
2025-04-29 09:50:00,2025-04-29 09:55:00,売り,-5.0,損切り
2025-04-29 10:05:00,2025-04-29 10:15:00,買い,-5.0,損切り
2025-04-30 09:10:00,2025-04-30 09:10:00,買い,-5.0,損切り
2025-05-06 11:30:00,2025-05-06 11:35:00,売り,-5.0,損切り
2025-05-08 13:50:00,2025-05-08 14:10:00,買い,20.0,利確
2025-05-09 11:25:00,2025-05-09 11:30:00,買い,-5.0,損切り
2025-05-09 11:45:00,2025-05-09 12:00:00,売り,20.0,利確
2025-05-12 13:55:00,2025-05-12 14:45:00,買い,20.0,利確
2025-05-14 09:55:00,2025-05-14 09:55:00,売り,-5.0,損切り
2025-05-19 14:40:00,2025-05-19 14:45:00,売り,-5.0,損切り
2025-05-19 14:50:00,2025-05-19 14:50:00,買い,-5.0,損切り
2025-05-19 14:55:00,2025-05-19 15:30:00,売り,20.0,利確
2025-05-26 10:00:00,2025-05-26 10:05:00,売り,-5.0,損切り
2025-05-28 10:15:00,2025-05-28 10:15:00,買い,-5.0,損切り
2025-06-04 10:00:00,2025-06-04 10:00:00,買い,20.0,利確
2025-06-04 10:25:00,2025-06-04 11:30:00,売り,-5.0,損切り
2025-06-04 11:50:00,2025-06-04 11:50:00,買い,-5.0,損切り
2025-06-06 09:10:00,2025-06-06 09:10:00,買い,-5.0,損切り
2025-06-09 09:50:00,2025-06-09 10:10:00,買い,-5.0,損切り
2025-06-09 10:30:00,2025-06-09 10:30:00,売り,-5.0,損切り
2025-06-10 10:25:00,2025-06-10 10:30:00,買い,20.0,利確
2025-06-11 10:15:00,2025-06-11 10:15:00,買い,-5.0,損切り
2025-06-11 10:30:00,2025-06-11 10:30:00,売り,-5.0,損切り
2025-06-11 10:40:00,2025-06-11 11:05:00,買い,20.0,利確
2025-06-16 11:35:00,2025-06-16 11:45:00,買い,-5.0,損切り
2025-06-19 10:50:00,2025-06-19 12:00:00,買い,20.0,利確
2025-06-25 10:15:00,2025-06-25 10:20:00,売り,-5.0,損切り
2025-07-01 14:15:00,2025-07-01 14:15:00,売り,-5.0,損切り
2025-07-08 10:00:00,2025-07-08 10:00:00,買い,-5.0,損切り
2025-07-14 11:40:00,2025-07-14 12:50:00,買い,-5.0,損切り
2025-07-15 10:55:00,2025-07-15 11:15:00,買い,-5.0,損切り
2025-07-15 11:25:00,2025-07-15 15:50:00,売り,-5.0,損切り
2025-07-16 11:20:00,2025-07-16 12:50:00,買い,20.0,利確
2025-07-18 11:05:00,2025-07-18 11:10:00,買い,-5.0,損切り
2025-07-21 13:55:00,2025-07-21 15:05:00,売り,20.0,利確
2025-07-22 12:05:00,2025-07-22 12:05:00,売り,-5.0,損切り
2025-07-22 12:15:00,2025-07-22 12:45:00,買い,-5.0,損切り
2025-07-23 09:25:00,2025-07-23 09:25:00,売り,20.0,利確
2025-07-23 11:25:00,2025-07-23 11:30:00,買い,20.0,利確
2025-07-28 10:45:00,2025-07-28 11:10:00,買い,20.0,利確
2025-07-28 14:20:00,2025-07-28 14:25:00,買い,-5.0,損切り
2025-07-30 09:05:00,2025-07-30 09:40:00,売り,20.0,利確
2025-08-01 10:30:00,2025-08-01 10:30:00,売り,-5.0,損切り
2025-08-04 13:25:00,2025-08-04 13:35:00,売り,-5.0,損切り
2025-08-04 13:55:00,2025-08-04 15:35:00,買い,-5.0,損切り
2025-08-06 10:05:00,2025-08-06 10:10:00,買い,-5.0,損切り
2025-08-08 13:20:00,2025-08-08 13:30:00,売り,-5.0,損切り
2025-08-08 14:15:00,2025-08-08 15:00:00,買い,20.0,利確
2025-08-11 10:25:00,2025-08-11 10:30:00,買い,-5.0,損切り
2025-08-11 10:35:00,2025-08-11 10:40:00,売り,-5.0,損切り
2025-08-19 10:35:00,2025-08-19 10:35:00,買い,-5.0,損切り
2025-08-19 10:45:00,2025-08-19 11:40:00,売り,-5.0,損切り
2025-08-19 13:00:00,2025-08-19 13:15:00,買い,-5.0,損切り
2025-08-19 13:25:00,2025-08-19 13:25:00,売り,-5.0,損切り
2025-08-25 13:25:00,2025-08-25 14:10:00,売り,-5.0,損切り
2025-08-26 09:10:00,2025-08-26 09:10:00,売り,-5.0,損切り
2025-08-29 11:40:00,2025-08-29 12:00:00,売り,-5.0,損切り
2025-08-29 12:25:00,2025-08-29 13:35:00,買い,-5.0,損切り
2025-09-08 13:00:00,2025-09-08 13:20:00,買い,-5.0,損切り
2025-09-08 13:45:00,2025-09-08 15:45:00,売り,20.0,利確
2025-09-10 13:10:00,2025-09-10 13:25:00,買い,-5.0,損切り
2025-09-10 14:00:00,2025-09-10 14:40:00,売り,-5.0,損切り
2025-09-10 14:55:00,2025-09-10 14:55:00,買い,-5.0,損切り
2025-09-17 13:55:00,2025-09-17 14:20:00,売り,-5.0,損切り
2025-09-24 09:30:00,2025-09-24 13:00:00,買い,20.0,利確
2025-09-25 10:55:00,2025-09-25 11:00:00,買い,-5.0,損切り
2025-09-25 11:10:00,2025-09-25 11:55:00,売り,-5.0,損切り
2025-09-25 14:35:00,2025-09-25 16:10:00,買い,-5.0,損切り
2025-09-26 11:00:00,2025-09-26 11:05:00,買い,-5.0,損切り
2025-09-26 11:25:00,2025-09-26 15:45:00,売り,-5.0,損切り
2025-09-30 12:35:00,2025-09-30 13:55:00,売り,20.0,利確
2025-10-01 11:10:00,2025-10-01 11:35:00,売り,-5.0,損切り
2025-10-02 10:40:00,2025-10-02 10:40:00,売り,-5.0,損切り
2025-10-03 09:10:00,2025-10-03 10:05:00,買い,-5.0,損切り
2025-10-07 14:10:00,2025-10-07 15:25:00,買い,20.0,利確
2025-10-09 10:15:00,2025-10-09 10:15:00,買い,-5.0,損切り
