gap_start,gap_end,gap_minutes,missing_bars,type
2024-12-24 22:40:00+00:00,2024-12-24 22:50:00+00:00,10.0,1,要確認
2024-12-25 07:55:00+00:00,2024-12-25 22:00:00+00:00,845.0,168,要確認
2024-12-27 21:55:00+00:00,2024-12-29 22:00:00+00:00,2885.0,576,週末休場(正常)
2024-12-30 22:35:00+00:00,2024-12-30 22:50:00+00:00,15.0,2,要確認
2024-12-31 21:55:00+00:00,2025-01-01 22:00:00+00:00,1445.0,288,要確認
2025-01-03 21:55:00+00:00,2025-01-05 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-01-05 22:05:00+00:00,2025-01-05 22:15:00+00:00,10.0,1,要確認
2025-01-10 21:55:00+00:00,2025-01-12 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-01-17 21:55:00+00:00,2025-01-19 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-01-24 21:55:00+00:00,2025-01-26 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-01-31 21:55:00+00:00,2025-02-02 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-02-07 21:55:00+00:00,2025-02-09 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-02-14 21:55:00+00:00,2025-02-16 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-02-21 21:55:00+00:00,2025-02-23 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-02-26 22:15:00+00:00,2025-02-26 22:25:00+00:00,10.0,1,要確認
2025-02-28 21:55:00+00:00,2025-03-02 22:00:00+00:00,2885.0,576,週末休場(正常)
2025-03-07 21:55:00+00:00,2025-03-09 21:00:00+00:00,2825.0,564,週末休場(正常)
2025-03-09 21:10:00+00:00,2025-03-09 21:20:00+00:00,10.0,1,要確認
2025-03-09 21:20:00+00:00,2025-03-09 21:30:00+00:00,10.0,1,要確認
2025-03-13 21:35:00+00:00,2025-03-13 21:45:00+00:00,10.0,1,要確認
2025-03-14 20:55:00+00:00,2025-03-16 21:00:00+00:00,2885.0,576,週末休場(正常)
2025-03-21 20:55:00+00:00,2025-03-23 21:00:00+00:00,2885.0,576,週末休場(正常)
2025-03-28 20:55:00+00:00,2025-03-30 21:00:00+00:00,2885.0,576,週末休場(正常)
2025-04-04 20:55:00+00:00,2025-04-06 21:00:00+00:00,2885.0,576,週末休場(正常)
2025-04-09 20:55:00+00:00,2025-04-09 21:20:00+00:00,25.0,4,要確認
2025-04-09 21:20:00+00:00,2025-04-09 21:30:00+00:00,10.0,1,要確認
2025-04-11 20:55:00+00:00,2025-04-13 21:00:00+00:00,2885.0,576,週末休場(正常)
2025-04-14 20:55:00+00:00,2025-04-14 21:05:00+00:00,10.0,1,要確認
2025-04-14 21:05:00+00:00,2025-04-14 21:15:00+00:00,10.0,1,要確認
2025-04-18 20:55:00+00:00,2025-04-20 21:00:00+00:00,2885.0,576,週末休場(正常)
